SMILES,IE
c12C3=C4[C@@]5([C@@]3(c3c(c1[nH]c1c2cccc1)c1c([nH]3)C=C[CH][CH]1)N5)C=CC=C4,-5.514
c12c3c4c5c6c7c3ccc2c2c3c8c1c(c4ccc5ccc6[CH][CH][CH]7)ccc8ccc3[CH][CH][CH]2,-4.793
c12c(c3c(c4c1nc1c(n4)C=C[CH][CH]1)nc1c(n3)C=C[CH][CH]1)nc1c(n2)cccc1,-2.633
C=C[C@@H]1C[NH](C)[C@H](CC)C[NH]1C,-2.125
C[NH]1C[C@@H](C#N)[NH](C)[C@H](C1)O,-1.586
[CH]=[C][C@@H]1[C@H](CC)[NH](C)CC[NH]1C,-1.284
C[NH](C)[C@@H]1CCC[C@@H](C1)[NH](C)C,-1.036
C[NH2][C@@H]1CCC[C@@H]1[NH2]C,-0.902
C[NH2][C@@H]1CCC[C@@H](C1)[NH2]C,-0.703
C[NH2][C@@H]1CCC[C@@H](C1)[NH](C)C,-0.693
C[NH](C)[C@@H]1CC[C@H](C1)[NH](C)C,-0.673
[C]12[C]3C(=CC=CC3=Cc3c2cccc3)[C]2[C]3C1=Cc1c([C]3[CH][CH][CH]2)cccc1,-0.666
c12[C@H]3c4c5c6c1c1ccc6ccn5ccc4=CC=C3[CH][CH]c2cc1,-0.661
C[NH2][C@@H]1CC[C@H](CC1)[NH](C)C,-0.634
C[NH]1CC[NH](C)C(C1)(OC)OC,-0.52
C[NH2][C@@H]1CC[C@H](C1)[NH2]C,-0.502
C[NH2][C@@H]1CC[C@H](C1)[NH](C)C,-0.405
C[NH2][C@@H]1CC[C@H](CC1)[NH2]C,-0.402
C[NH](C)[C@@H]1CC[C@H](CC1)[NH](C)C,-0.397
C[C@]1(C[NH](C)CC[NH]1C)O,-0.369
C[C@]1(C[NH](C)CC[NH]1C)OC,-0.313
C[NH]1CC[NH](C)C(C1)(O)O,-0.293
C[NH]1CC[NH](C)[C@@](C1)(O)OC,-0.283
CC[C@]1(C[NH](C)CC[NH]1C)OC,-0.275
CC[C@H]1C[NH](C)CC[NH]1C,-0.268
CCC1(CC)C[NH](C)CC[NH]1C,-0.268
C[C@H]1C[NH](C)CC[NH]1C,-0.261
C1C[C@H](C[C@H](C1)[NH3])[NH3],-0.247
c12c3c(ccc1cc1c(c2)c(ccc1)C)[CH][CH]C=C3,-0.236
CC[C@@]1(C)C[NH](C)CC[NH]1C,-0.232
[C]1(C(=O)[CH][CH][CH][CH][CH]1)O,-0.224
C[NH](C)[C@@H]1CC[C@H](CC1)[NH3],-0.222
C1C[C@H](CC[C@@H]1[NH3])[NH3],-0.222
C[NH2][C@H]1CCC[C@H](C1)[NH3],-0.212
c12c3c4c5c(cc3ccc1c1c(cc2cc4)cccc1)C=C[CH][CH]5,-0.205
C[NH2][C@@H]1CC[C@H](CC1)[NH3],-0.201
C[NH](C)[C@H]1CCC[C@H](C1)[NH3],-0.201
C[NH2][C@@H]1CC[C@H](C1)[NH3],-0.194
C[NH](C)[C@@H]1CC[C@H](C1)[NH3],-0.194
C[NH]1CC[NH](C)[C@H](C1)O,-0.192
C1C[C@H](C[C@@H]1[NH3])[NH3],-0.18
CC[C@@H]1C[NH](C)C[C@H](CC)[NH]1C,-0.167
c12c3c4c(cc2ccc2c1c(cc3)ccc2)cc1c(c4)C=C[CH][CH]1,-0.159
C[C@@H]1[C@H](c2ccccc2)[NH](C)CC[NH]1C,-0.129
CC[C@H]1C[NH](C)C[C@@H](C)[NH]1C,-0.122
c12c(c(cc3c1[CH][CH]C=C3)C)cc1c(c2)cccc1,-0.122
C[C@@H]1C[NH](C)C[C@H](C)[NH]1C,-0.074
CC1(C)C[NH](C)CC[NH]1C,-0.06
C[NH]1C[C@H]([NH](C)[C@H](C1)O)O,-0.054
C[NH](C)C1(CCCCC1)[NH3],-0.029
C[NH](C)C1(CCCC1)[NH3],-0.007
c12c(c3c([nH]2)c2c(cc3)C=C[CH][CH]2)ccc2c1cccc2,0.027
C[NH2][C@@H]1CCCC[C@@H]1[NH3],0.098
c12c3c(cc4c(c3)C=C[CH][CH]4)ccc1cc1c(c2)ccc2c1cccc2,0.114
CN/C=N/C1=[N]=C[N]O1,0.119
C[NH2][C@@H]1CCC[C@@H]1[NH](C)C,0.15
C1CC[C@H]([C@H](C1)[NH3])[NH3],0.166
C[NH](C)[C@@H]1CCCC[C@@H]1[NH3],0.168
C[C@H]1C[C@@H](C#C)N2C[C@@H]12,0.214
C[C@H]1[C@H]2C[C@@H]1[C@]2(C)C#N,0.223
C[NH](C)[C@H]1CCC[C@H]1[NH3],0.228
C[C@H]1C[C@H]2[C@@H]1N2CC#C,0.229
